# LAMMPS data file written by OVITO Basic 3.9.2

2000 atoms
2 atom types

-30.0 30.0 xlo xhi
-30.0 30.0 ylo yhi
-30.0 30.0 zlo zhi

Masses

1 15.999  # O
2 65.38

Atoms  # charge

1 2 0.6455012 -4.4793694833 -12.1738251313 -3.3760477159 0 0 0
2 2 0.6455012 -6.7552206148 -10.2870498824 -3.4149638466 0 0 0
3 2 0.6455012 -7.3508201929 -13.0658671243 -1.8093472773 0 0 0
4 1 -0.6455012 -4.7633154756 -10.1547742828 -3.2687800551 0 0 0
5 1 -0.6455012 -6.6063930521 -12.3161284495 -3.4730911274 0 0 0
6 2 0.6455012 -10.1982884767 -12.3171284538 -0.0421021111 0 0 0
7 1 -0.6455012 -12.3058655992 -12.2493015911 -0.0418027479 0 0 0
8 2 0.6455012 -10.142600651 -12.3812649163 -3.3014732368 0 0 0
9 2 0.6455012 -12.3590508301 -10.3813556999 -3.216807479 0 0 0
10 1 -0.6455012 -10.2901773458 -10.2518667432 -3.3147669531 0 0 0
11 1 -0.6455012 -9.3926038625 -13.1367278976 -1.6944947684 0 0 0
12 1 -0.6455012 -12.1482494382 -12.3647076875 -3.2902806216 0 0 0
13 1 -0.6455012 -6.6822820119 -12.3929681343 -0.0954937878 0 0 0
14 2 0.6455012 -3.7886738337 -15.0598503418 -1.6710808863 0 0 0
15 2 0.6455012 -0.8919039831 -15.8353846594 -3.3854150614 0 0 0
16 1 -0.6455012 -1.7613373834 -15.0379966129 -1.7139349717 0 0 0
17 1 -0.6455012 -1.0195615209 -17.83181814 -3.3685019802 0 0 0
18 1 -0.6455012 -4.6649317698 -15.8032523423 -0.0676951944 0 0 0
19 2 0.6455012 -6.6435751496 -15.8770903553 -3.383927552 0 0 0
20 1 -0.6455012 -4.587592043 -15.8490266975 -3.3172965426 0 0 0
21 1 -0.6455012 -7.3026744041 -15.0952704573 -1.6523221606 0 0 0
22 2 0.6455012 -9.3164843467 -15.1252043482 -1.5282059649 0 0 0
23 2 0.6455012 -1.1473291316 -10.2347473872 -0.1558015229 0 0 0
24 1 -0.6455012 -1.0910766601 -12.2543206273 -0.0724675131 0 0 0
25 2 0.6455012 -1.0365926452 -10.1026117224 -3.3172985452 0 0 0
26 2 0.6455012 -1.7410794846 -13.0401737903 -1.7375299687 0 0 0
27 1 -0.6455012 -3.8224236411 -13.0351010359 -1.7228760209 0 0 0
28 1 -0.6455012 -1.1252994663 -12.1165090421 -3.3993668065 0 0 0
29 1 -0.6455012 -4.5714485208 -10.1376567448 -13.2698126976 0 0 0
30 2 0.6455012 -6.5559705952 -10.1934182351 -13.1404432618 0 0 0
31 1 -0.6455012 -0.9738805155 -12.3554068613 -13.1918409927 0 0 0
32 2 0.6455012 -1.0144234323 -10.3099179273 -13.165145339 0 0 0
33 1 -0.6455012 -10.0868320431 -10.2442062275 -9.9034337277 0 0 0
34 1 -0.6455012 -6.5490993352 -12.2534134188 -9.9128904783 0 0 0
35 1 -0.6455012 -4.4402760561 -10.3104375901 -9.8826510037 0 0 0
36 2 0.6455012 -6.5220349561 -10.2993952365 -9.8251976347 0 0 0
37 2 0.6455012 -4.5282920252 -12.3544409014 -9.9010168734 0 0 0
38 1 -0.6455012 -3.8196156271 -12.9563421518 -11.6070585141 0 0 0
39 1 -0.6455012 -1.0909169787 -12.2479329287 -9.9223620129 0 0 0
40 2 0.6455012 -1.8343455528 -12.9901990378 -11.5647896201 0 0 0
41 2 0.6455012 -1.0802958223 -10.2321028311 -9.8766816476 0 0 0
42 1 -0.6455012 -7.3881313889 -15.1456051395 -4.9644504024 0 0 0
43 1 -0.6455012 -4.515611942 -15.8097867966 -6.5489123621 0 0 0
44 1 -0.6455012 -1.7543336406 -15.0555126616 -8.2134768392 0 0 0
45 1 -0.6455012 -1.7957529671 -15.0081183339 -4.9389991882 0 0 0
46 2 0.6455012 -3.7893760739 -15.0864564885 -8.2047022954 0 0 0
47 2 0.6455012 -1.0897264288 -15.7665512682 -6.5567206321 0 0 0
48 2 0.6455012 -3.880011834 -14.9690973193 -4.8409438817 0 0 0
49 1 -0.6455012 -9.3475856659 -13.0413076775 -8.2240068744 0 0 0
50 1 -0.6455012 -9.3731387974 -13.0979618395 -4.9752508804 0 0 0
51 1 -0.6455012 -10.1547401117 -10.2586159879 -6.5811614615 0 0 0
52 2 0.6455012 -12.2527776514 -10.2735601296 -6.5919103638 0 0 0
53 2 0.6455012 -10.1187445267 -12.2331144831 -6.6634948665 0 0 0
54 1 -0.6455012 -6.5812614953 -12.2649280236 -6.743045352 0 0 0
55 2 0.6455012 -4.6158686606 -12.397977067 -0.1118646976 0 0 0
56 2 0.6455012 -7.3893452893 -13.1097142053 -8.3061573973 0 0 0
57 2 0.6455012 -7.3328100579 -13.1405719986 -5.0976955624 0 0 0
58 2 0.6455012 -6.7547619909 -10.1929084995 -6.7095814997 0 0 0
59 2 0.6455012 -4.5581999102 -12.1373475477 -6.6128498362 0 0 0
60 1 -0.6455012 -3.8106973301 -13.0182958722 -8.2003449736 0 0 0
61 1 -0.6455012 -1.0086828411 -12.1269854407 -6.6652219741 0 0 0
62 1 -0.6455012 -3.7583996665 -12.9490401251 -4.9491058174 0 0 0
63 2 0.6455012 -1.7556793884 -13.0742717747 -8.2682643603 0 0 0
64 2 0.6455012 -1.7683283361 -12.8056524698 -5.0263160664 0 0 0
65 2 0.6455012 -9.5266931682 -15.10460635 1.784262787 0 0 0
66 1 -0.6455012 -7.4786871442 -15.1711246277 1.6930048033 0 0 0
